Year;Rain;Snow/Ice;technical defects;misconduct involved total;misconduct Trucks;misconduct cars;misconduct motorbikes;misconduct bikes;misconduct pedestrians;driver misconduct total;alcohol;speed;distance;right of way;turning;car driver misconduct;car alcohol;car speed;car distance;car right of way;car turning
1991;14018;13898;6213;546194;30851;378373;39248;51009;36640;509247;38172;104363;47012;68345;66071;378373;29800;84380;37975;53781;50318
1995;18615;14841;5486;539602;34569;374181;35342;53085;32308;506937;34561;101106;54136;68778;66547;374181;26382;81399;43616;54379;50761
2000;10372;7325;5015;503011;34850;342684;37122;52069;26799;475792;25391;88157;56412;69218;68583;342684;17552;67490;44831;55527;53342
2002;11176;6544;4668;475750;31265;325066;35338;50622;23897;451399;23565;80790;54243;65768;65683;325066;15971;61383;43487;52988;51552
2003;6940;9598;4763;466200;30339;311900;37141;54938;22433;443293;22674;78728;50771;63896;65558;311900;14658;58207;39938;51013;51265
2004;9388;9444;4342;438937;28790;295564;33596;51336;20514;417923;21096;72372;47697;61521;61879;295564;13774;53852;37339;49482;48488
2005;8598;12359;4402;433756;29129;287173;33882;55134;19814;413942;20663;69447;48086;60355;62943;287173;12821;50569;37281;48095;49226
2006;7837;9754;4302;423373;28822;278119;33998;54480;19487;403886;19405;64742;47104;59700;62120;278119;11936;46322;36437;47620;48508
2007;10032;5230;4436;428628;28474;281086;35595;55787;19099;409529;19443;61823;47973;60841;63766;281086;11785;43640;37013;48573;50007
2008;8672;6033;4158;406399;26943;264168;33384;55302;18198;388201;18383;55710;44635;58192;61035;264168;11035;38691;34364;46382;47606
2009;8503;9784;3997;394397;25264;259535;31786;52704;16664;377733;16513;56874;44437;55287;59316;259535;9890;40024;34359;44563;46500
2010;6698;19458;3918;365799;26439;242307;28390;44808;15476;350323;14237;55610;42017;50425;53236;242307;8734;39719;32286;40498;41785
2011;7150;6236;3806;387928;25734;254120;31177;51811;16107;371821;15114;49659;43706;55289;60262;254120;9335;34104;33670;44305;47287
2012;7095;8097;3726;378661;24256;250895;28687;50518;15668;362993;14380;49274;44468;53546;57512;250895;8793;34328;34817;43143;45450
2013;6281;9537;3559;365289;23283;244151;27416;47195;14908;350381;13327;48730;45735;51055;55480;244151;8225;33817;35968;41386;43881
2014;7056;3499;3624;376469;22471;248712;30228;51796;14534;361935;13011;45888;49522;53947;58178;248712;7775;30489;38906;43722;46145
2015;6362;4974;3636;380707;22976;253504;29937;51529;14259;366448;12660;47024;50667;53361;57975;253504;7553;31559;39982;43511;45974
2016;6437;5073;3586;383433;22780;255391;28657;53870;14191;369242;12875;47023;51221;53510;58034;255391;7734;31514;40438;43677;46387
2017;6387;6103;3528;374776;22773;247837;28219;53286;14040;360736;12873;45058;50267;52332;56642;247837;7634;29755;39490;42725;45203
2018;4710;4680;3687;382065;22317;247385;30104;59939;13506;368559;13447;42146;51086;52709;59083;247385;7516;26361;39393;42887;47000
2019;5661;4051;3608;368149;20928;237700;27377;59162;13065;355084;13475;41173;49470;51287;56471;237700;7221;25759;38369;41799;44872
2020;5136;2269;3350;320946;17444;192623;25605;65329;10093;310853;12733;37105;38377;43378;49470;192623;6183;20918;28257;34649;38585
2021;4850;5786;3333;315750;17962;190972;23409;60168;9458;306292;13424;36726;38133;41598;46741;190972;6362;21947;28263;33151;36400
