Year;Total;only property damage;with damage to people;inside cities;outside cities without Autobahn;on Autobahn
1991;2311466;1926319;385147;245617;112182;27348
1992;2311466;1926319;385147;245617;112182;27348
1993;2311466;1926319;385147;245617;112182;27348
1994;2311466;1926319;385147;245617;112182;27348
1995;2238301;1850298;388003;246617;115873;25513
1996;2238301;1850298;388003;246617;115873;25513
1997;2238301;1850298;388003;246617;115873;25513
1998;2238301;1850298;388003;246617;115873;25513
1999;2238301;1850298;388003;246617;115873;25513
2000;2350227;1967278;382949;245470;111901;25578
2001;2350227;1967278;382949;245470;111901;25578
2002;2289474;1927420;362054;233865;103564;24625
2003;2259567;1905033;354534;230521;101367;22646
2004;2261689;1922379;339310;223314;94538;21458
2005;2253992;1917373;336619;225875;89801;20943
2006;2235318;1907334;327984;221504;86046;20434
2007;2335005;1999160;335845;228717;86662;20466
2008;2293663;1973049;320614;221306;81039;18269
2009;2313453;2002647;310806;213361;79051;18394
2010;2411271;2122974;288297;195833;73635;18829
2011;2361457;2055191;306266;210427;77549;18290
2012;2401843;2102206;299637;206696;75094;17847
2013;2414011;2122906;291105;199650;73003;18452
2014;2406685;2104250;302435;209618;73916;18901
2015;2516831;2211172;305659;209821;75725;20113
2016;2585327;2277182;308145;211686;75266;21193
2017;2643098;2340442;302656;207562;74166;20928
2018;2636468;2327747;308721;213124;75060;20537
2019;2685661;2385518;300143;207625;72538;19980
2020;2245245;1980746;264499;183412;65850;15237
2021;2314938;2055951;258987;176948;65632;16407
