Year;total;trucks;cars;motorbikes insurance plates;motorbikes official plates;bikes;pedestrians;car male;car female;car 18 - 25;car 25 - 65;car over 65
1991;385147;23259;273508;18123;8696;32929;20296;194335;68815;83938;161257;14735
1992;385147;23259;273508;18123;8696;32929;20296;194335;68815;83938;161257;14735
1993;385147;23259;273508;18123;8696;32929;20296;194335;68815;83938;161257;14735
1994;385147;23259;273508;18123;8696;32929;20296;194335;68815;83938;161257;14735
1995;388003;26729;278722;16406;8106;33479;16081;189208;77217;76638;170136;16807
1996;388003;26729;278722;16406;8106;33479;16081;189208;77217;76638;170136;16807
1997;388003;26729;278722;16406;8106;33479;16081;189208;77217;76638;170136;16807
1998;388003;26729;278722;16406;8106;33479;16081;189208;77217;76638;170136;16807
1999;388003;26729;278722;16406;8106;33479;16081;189208;77217;76638;170136;16807
2000;382949;28033;271339;18141;9306;33590;14053;174801;86019;76770;160382;20610
2001;382949;28033;271339;18141;9306;33590;14053;174801;86019;76770;160382;20610
2002;362054;25144;257436;17177;8714;32199;12860;163532;84280;70796;152006;22534
2003;354534;24214;247872;18036;9082;34909;12097;155420;82983;66243;146521;23282
2004;339310;23377;237693;16303;8761;33659;11313;148805;80420;62348;140679;23764
2005;336619;23688;231764;16610;8790;36189;11311;144587;79673;58354;138243;24976
2006;327984;23512;224596;15956;9506;35387;10909;138878;78153;55313;133669;25356
2007;335845;23577;229554;16433;10564;36514;10780;140837;81144;56252;135827;27151
2008;320614;22541;217843;14541;10861;36257;10192;132757;78148;52175;129367;26824
2009;310806;20854;212826;14554;9798;34922;9573;129443;77230;51930;124573;27561
2010;288297;21749;198175;8620;13213;29669;8829;120364;72030;47977;116931;25305
2011;306266;21358;208484;9155;14697;34560;9428;126099;76223;47968;123555;28293
2012;299637;20186;206103;8488;13662;33711;9140;124162;75956;46725;123059;27902
2013;291105;19468;201194;7501;13812;32329;8753;120695;74624;42843;122167;27991
2014;302435;18988;206637;7913;15718;35801;8907;123889;76657;42054;126224;29943
2015;305659;19260;209950;7682;15779;35825;8807;125943;77883;41290;128894;31406
2016;308145;19022;211460;7248;15437;37671;8900;127205;78324;41000;129820;32476
2017;302656;18988;206413;6991;15442;37427;8858;124176;76329;38388;127711;32188
2018;308721;18594;206041;7495;16600;42552;8678;124625;75346;36052;127299;34072
2019;300143;17641;199369;7154;14994;43018;8513;120774;72573;35541;122494;33131
2020;264499;14799;163103;6578;14655;49498;6806;99841;57881;29147;99614;27416
2021;258987;15183;160771;6077;13702;45368;6398;98152;57102;29900;97185;26809
